City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pachino,36.7186,15.0907,25.87,67,0,9.52,IT,1724109157
1,saldanha,-33.0117,17.9442,12.59,86,0,3.03,ZA,1724109158
2,port elizabeth,-33.918,25.5701,16.29,63,0,2.06,ZA,1724109161
3,belmonte,-15.8631,-38.8828,22.43,86,46,3.51,BR,1724109162
4,port-aux-francais,-49.35,70.2167,3.2,81,54,15.81,TF,1724109163
5,saint-denis,48.9167,2.3333,18.01,74,0,2.06,FR,1724109164
6,svetlyy,54.675,20.1347,14.99,85,79,2.43,RU,1724109165
7,klyuchi,52.2667,79.1667,15.56,73,87,3.27,RU,1724109166
8,lihue,21.9789,-159.3672,28.77,67,20,6.69,US,1724109167
9,minusinsk,53.7103,91.6875,12.01,86,3,1.62,RU,1724109169
10,saint-pierre,-21.3393,55.4781,19.82,56,20,3.09,RE,1724109170
11,edinburgh of the seven seas,-37.0676,-12.3116,8.04,62,27,7.95,SH,1724109171
12,puerto natales,-51.7236,-72.4875,1.03,92,6,1.55,CL,1724109172
13,longyearbyen,78.2186,15.6401,10.91,76,75,7.2,SJ,1724109173
14,avarua,-21.2078,-159.775,25.03,69,75,9.26,CK,1724109174
15,el alamo,40.2307,-3.9945,29.53,25,0,3.96,ES,1724109175
16,buala,-8.145,159.5921,25.74,88,97,4.55,SB,1724109176
17,nahiyat al fuhud,30.9697,46.7228,38.89,15,0,6.33,IQ,1724109178
18,gulf shores,30.246,-87.7008,34.47,40,0,3.6,US,1724109179
19,albany,42.6001,-73.9662,19.75,89,91,5.36,US,1724108993
20,adamstown,-25.066,-130.1015,18.63,66,26,10.53,PN,1724109181
21,badger,64.8,-147.5333,12.14,83,100,9.77,US,1724109182
22,dwarka,22.2394,68.9678,27.39,84,94,4.57,IN,1724109183
23,grytviken,-54.2811,-36.5092,-9.16,81,30,6.89,GS,1724109185
24,uturoa,-16.7333,-151.4333,24.82,70,61,12.73,PF,1724109186
25,qaqortoq,60.7167,-46.0333,4.43,84,100,1.84,GL,1724109187
26,iqaluit,63.7506,-68.5145,10.85,81,100,5.14,CA,1724108981
27,khorinsk,52.1657,109.7726,16.95,64,97,1.15,RU,1724109189
28,garoowe,8.4054,48.4845,27.37,40,90,12.15,SO,1724109190
29,ushuaia,-54.8,-68.3,4.81,65,0,14.4,AR,1724109191
30,waitangi,-43.9535,-176.5597,6.01,78,99,6.71,NZ,1724109192
31,susuman,62.7833,148.1667,13.64,51,44,1.77,RU,1724109194
32,aripuana,-9.1667,-60.6333,29.2,33,15,0.73,BR,1724109195
33,fort bragg,35.139,-79.006,30.91,48,0,2.57,US,1724109086
34,praia da vitoria,38.7333,-27.0667,25.14,88,20,2.54,PT,1724109197
35,west island,-12.1568,96.8225,25.99,83,95,6.17,CC,1724109198
36,blackmans bay,-43.0167,147.3167,6.96,92,82,2.64,AU,1724109199
37,utrik,11.2278,169.8474,27.67,81,100,6.4,MH,1724109200
38,papatowai,-46.5619,169.4708,8.2,78,86,7.35,NZ,1724109202
39,levuka,50.1834,-105.4011,28.84,41,100,5.44,CA,1724109203
40,bredasdorp,-34.5322,20.0403,8.74,89,2,0.97,ZA,1724109204
41,fort-shevchenko,44.5086,50.263,24.44,50,0,5.9,KZ,1724109205
42,mount pearl,47.5166,-52.7813,20.81,98,100,4.12,CA,1724109206
43,alakurtti,66.9672,30.3491,9.46,93,79,5.41,RU,1724109207
44,tiksi,71.6872,128.8694,2.98,90,100,4.38,RU,1724109208
45,sao vicente,-23.9631,-46.3919,23.94,58,0,2.21,BR,1724109210
46,bilibino,68.0546,166.4372,8.34,75,100,5.49,RU,1724109211
47,punta arenas,-53.15,-70.9167,4.06,81,0,8.23,CL,1724109212
48,sitka,57.0531,-135.33,14.94,94,100,4.63,US,1724109213
49,new norfolk,-42.7826,147.0587,7.62,80,97,1.13,AU,1724109215
50,qui nhon,13.7667,109.2333,26.89,76,100,1.12,VN,1724109216
51,hawaiian paradise park,19.5933,-154.9731,29.29,75,40,5.14,US,1724109218
52,san antonio de pale,-1.4014,5.6325,23.64,87,100,6.61,GQ,1724109219
53,gereida,11.2811,25.1414,24.2,76,62,3.35,SD,1724109220
54,genhe,50.7833,121.5167,14.15,53,0,0.37,CN,1724109221
55,invercargill,-46.4,168.35,7.23,88,95,3.58,NZ,1724109222
56,salihorsk,52.7876,27.5415,20.25,84,87,2.33,BY,1724109223
57,igarka,67.4667,86.5833,11.1,91,36,1.13,RU,1724109224
58,wailua homesteads,22.0669,-159.378,28.44,70,20,6.69,US,1724109226
59,port saint john's,-31.6229,29.5448,18.36,65,0,3.08,ZA,1724109227
60,ciudad guayana,8.3533,-62.6528,25.87,81,73,1.93,VE,1724109040
61,tadine,-21.55,167.8833,22.19,69,55,5.73,NC,1724109229
62,bethel,41.3712,-73.414,23.36,87,61,3.89,US,1724109230
63,hermanus,-34.4187,19.2345,12.39,84,2,1.33,ZA,1724109231
64,altamont,42.2068,-121.7372,28.21,31,0,6.69,US,1724109232
65,kavaratti,10.5669,72.642,25.91,90,100,10.49,IN,1724109233
66,tome,-36.6167,-72.95,8.34,66,100,1.53,CL,1724109235
67,santa ana de yacuma,-13.75,-65.4333,31.97,48,0,1.03,BO,1724109236
68,jamestown,42.097,-79.2353,14.45,95,100,3.6,US,1724109073
69,priargunsk,50.3691,119.1012,15.57,42,0,1.04,RU,1724109238
70,lazaro cardenas,17.9583,-102.2,30.68,64,100,0.52,MX,1724109239
